"idx","wojewodztwo"
"341","kujawsko-pomorskie"
"342","kujawsko-pomorskie"
"343","kujawsko-pomorskie"
"344","kujawsko-pomorskie"
"345","kujawsko-pomorskie"
"346","kujawsko-pomorskie"
"347","kujawsko-pomorskie"
"348","kujawsko-pomorskie"
"349","kujawsko-pomorskie"
"350","kujawsko-pomorskie"
"351","kujawsko-pomorskie"
"352","kujawsko-pomorskie"
"353","kujawsko-pomorskie"
"354","kujawsko-pomorskie"
"355","kujawsko-pomorskie"
"356","kujawsko-pomorskie"
"357","kujawsko-pomorskie"
"358","kujawsko-pomorskie"
"359","kujawsko-pomorskie"
"360","kujawsko-pomorskie"
"361","kujawsko-pomorskie"
"362","kujawsko-pomorskie"
"363","dolnośląskie"
"364","dolnośląskie"
"365","dolnośląskie"
"366","dolnośląskie"
"367","kujawsko-pomorskie"
"368","kujawsko-pomorskie"
"369","kujawsko-pomorskie"
"370","kujawsko-pomorskie"
"371","kujawsko-pomorskie"
"372","kujawsko-pomorskie"
"373","kujawsko-pomorskie"
"374","kujawsko-pomorskie"
"375","kujawsko-pomorskie"
"376","kujawsko-pomorskie"
"377","kujawsko-pomorskie"
"378","kujawsko-pomorskie"
"379","kujawsko-pomorskie"
"380","kujawsko-pomorskie"
"381","kujawsko-pomorskie"
"382","kujawsko-pomorskie"
"383","dolnośląskie"
"384","dolnośląskie"
"385","dolnośląskie"
"386","dolnośląskie"
"387","dolnośląskie"
"388","dolnośląskie"
"389","dolnośląskie"
"390","dolnośląskie"
"391","dolnośląskie"
"392","dolnośląskie"
"393","dolnośląskie"
"394","dolnośląskie"
"395","dolnośląskie"
"396","dolnośląskie"
"397","dolnośląskie"
"398","dolnośląskie"
"399","dolnośląskie"
"400","dolnośląskie"
"401","dolnośląskie"
"402","dolnośląskie"
"403","dolnośląskie"
"404","dolnośląskie"
"405","dolnośląskie"
"406","dolnośląskie"
"407","dolnośląskie"
"408","dolnośląskie"
"409","dolnośląskie"
"410","dolnośląskie"
"411","dolnośląskie"
"412","dolnośląskie"
"413","mazowieckie"
"414","mazowieckie"
"415","mazowieckie"
"416","lubelskie"
"417","lubelskie"
"418","lubelskie"
"419","wielkopolskie"
"420","lubelskie"
"421","lubelskie"
"422","wielkopolskie"
"423","wielkopolskie"
"424","mazowieckie"
"425","mazowieckie"
"426","mazowieckie"
"427","lubelskie"
"428","lubelskie"
"429","lubelskie"
"430","lubelskie"
"431","lubelskie"
"432","wielkopolskie"
"433","wielkopolskie"
"434","wielkopolskie"
"435","mazowieckie"
"436","mazowieckie"
"437","lubelskie"
"438","lubelskie"
"439","lubelskie"
"440","lubelskie"
"441","lubelskie"
"442","lubelskie"
"443","wielkopolskie"
"444","wielkopolskie"
"445","wielkopolskie"
"446","mazowieckie"
"447","opolskie"
"448","lubelskie"
"449","lubelskie"
"450","lubelskie"
"451","lubelskie"
"452","lubelskie"
"453","wielkopolskie"
"454","wielkopolskie"
"455","wielkopolskie"
"456","opolskie"
"457","zachodniopomorskie"
"458","lubelskie"
"459","lubelskie"
"460","lubelskie"
"461","lubelskie"
"462","lubelskie"
"463","lubelskie"
"464","lubelskie"
"465","lubelskie"
"466","lubelskie"
"467","łódzkie"
"468","łódzkie"
"469","małopolskie"
"470","małopolskie"
"471","lubuskie"
"472","lubuskie"
"473","lubuskie"
"474","lubuskie"
"475","lubuskie"
"476","lubelskie"
"477","lubelskie"
"478","lubelskie"
"479","lubelskie"
"480","kujawsko-pomorskie"
"481","kujawsko-pomorskie"
"482","małopolskie"
"483","małopolskie"
"484","małopolskie"
"485","małopolskie"
"486","wielkopolskie"
"487","wielkopolskie"
"488","wielkopolskie"
"489","wielkopolskie"
"490","lubelskie"
"491","lubelskie"
"492","lubelskie"
"493","lubelskie"
"494","lubelskie"
"495","kujawsko-pomorskie"
"496","kujawsko-pomorskie"
"497","kujawsko-pomorskie"
"498","małopolskie"
"499","małopolskie"
"500","małopolskie"
"501","zachodniopomorskie"
"502","zachodniopomorskie"
"503","lubelskie"
"504","lubelskie"
"505","lubelskie"
"506","łódzkie"
"507","łódzkie"
"508","małopolskie"
"509","małopolskie"
"510","małopolskie"
"511","lubuskie"
"512","lubuskie"
"513","lubuskie"
"514","lubuskie"
"515","lubelskie"
"516","lubelskie"
"517","lubelskie"
"518","lubelskie"
"519","łódzkie"
"520","łódzkie"
"521","łódzkie"
"522","małopolskie"
"523","małopolskie"
"524","małopolskie"
"525","wielkopolskie"
"526","wielkopolskie"
"527","lubelskie"
"528","lubelskie"
"529","lubelskie"
"530","lubelskie"
"531","łódzkie"
"532","łódzkie"
"533","łódzkie"
"534","łódzkie"
"535","małopolskie"
"536","małopolskie"
"537","małopolskie"
"538","małopolskie"
"539","opolskie"
"540","lubuskie"
"541","lubuskie"
"542","lubelskie"
"543","lubelskie"
"544","lubelskie"
"545","łódzkie"
"546","łódzkie"
"547","łódzkie"
"548","małopolskie"
"549","małopolskie"
"550","małopolskie"
"551","lubuskie"
"552","lubuskie"
"553","lubelskie"
"554","lubelskie"
"555","łódzkie"
"556","łódzkie"
"557","łódzkie"
"558","łódzkie"
"559","małopolskie"
"560","łódzkie"
"561","wielkopolskie"
"562","wielkopolskie"
"563","zachodniopomorskie"
"564","zachodniopomorskie"
"565","lubelskie"
"566","lubelskie"
"567","wielkopolskie"
"568","łódzkie"
"569","łódzkie"
