"data.wydania";"data.ogloszenia";"data.wykonania";"organ.wlasciwy";"ocena.konstytucyjnosci";"status.orzeczenia";"tytul.orzeczenia";"akty.prawne";"dane.orzeczenia";"dokumenty.w.sprawie"
2010-09-10;2010-09-16;2011-07-01;"Minister Infrastruktury i Rozwoju";"niezgodny";"Wykonane";"Opłaty lotnicze";"Dz.U. 2003 r. Nr 176 poz. 1718Rozporządzenie Ministra Infrastruktury z dnia 8 września 2003 r. w sprawie opłaty lotniczej";"P 44/09
Data wydania:2010-09-10
Dz.U. 2010 r. Nr 170 poz. 1150
Data ogłoszenia:2010-09-16";"[Pokaż szczegóły]

AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 170 poz. 1015"
2010-07-21;2010-08-09;NA;"Minister Finansów";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Nadpłata podatku";"Dz.U. 2005 r. Nr 8 poz. 60Ustawa z dnia 29 sierpnia 1997 r. - Ordynacja podatkowa";"SK 21/08
Data wydania:2010-07-21
Dz.U. 2010 r. Nr 142 poz. 961
Data ogłoszenia:2010-08-09";"[Pokaż szczegóły]"
2010-07-12;2010-07-26;2011-06-01;"Minister Pracy i Polityki Społecznej";"niezgodny";"Wykonane";"Wypowiedzenie umowy o pracę zawartej na czas określony";"Dz.U. 1998 r. Nr 21 poz. 94Ustawa z dnia 26 czerwca 1974 r. – Kodeks pracy
Dz.U. 2001 r. Nr 79 poz. 854Ustawa z dnia 23 maja 1991 r. o związkach zawodowych";"P 4/10
Data wydania:2010-07-12
Dz.U. 2010 r. Nr 135 poz. 912
Data ogłoszenia:2010-07-26";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-46_10
AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 144 poz. 855"
2010-07-05;2010-07-23;2013-05-01;"Minister Pracy i Polityki Społecznej";"niezgodny";"Wykonane";"Warunki świadczeń emerytalno-rentowych dla Polaków pracujących poza granicami RP.";"Dz.U. 2009 r. Nr 153 poz. 1227Ustawa z dnia 17 grudnia 1998 r. o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych";"P 31/09
Data wydania:2010-07-05
Dz.U. 2010 r. Nr 134 poz. 903
Data ogłoszenia:2010-07-23";"[Pokaż szczegóły]

ANALIZA
RCL DPiO 5604-45-10
AKTY WYKONUJĄCE
Dz.U. 2013 r. poz. 786"
2010-06-29;2010-07-22;2013-05-01;"Minister Zdrowia";"niezgodny";"Wykonane";"Brak możliwości wniesienia odwołania do sądu przez lekarza ukaranego przez Naczelny Sąd Lekarski II instancji.";"Dz.U. 1989 r. Nr 30 poz. 158Ustawa z dnia 17 maja 1989 r. o izbach lekarskich";"P 28/09
Data wydania:2010-06-29
Dz.U. 2010 r. Nr 133 poz. 898
Data ogłoszenia:2010-07-22";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-44-10
AKTY WYKONUJĄCE
Dz.U. 2013 r. poz. 779"
2010-06-02;2010-06-22;2011-09-01;"Minister Sprawiedliwości";"niezgodny";"Wykonane";"Brak możliwości odwołania się od decyzji sądu w kwestii wniosku o wyłączenie sędziów w sprawach, w których przysługuje skarga kasacyjna";"Dz.U. 1964 r. Nr 43 poz. 296Ustawa z dnia 17 listopada 1964 r. - Kodeks postępowania cywilnego";"SK 38/09
Data wydania:2010-06-02
Dz.U. 2010 r. Nr 109 poz. 724
Data ogłoszenia:2010-06-22";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-43-10
AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 233 poz. 1381"
2010-05-31;2010-06-22;NA;"Minister Pracy i Polityki Społecznej";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Zasady korekty wniosku w sprawie kwot rekompensujących utracone dochody z tytułu zwolnień dla prowadzących zakłady pracy chronionej";"Dz.U. 2003 r. Nr 166 poz. 1616Rozporządzenie Ministra Gospodarki, Pracy i Polityki Społecznej z dnia 29 sierpnia 2003 r. w sprawie szczegółowych zasad obliczania i trybu przekazywania gminom dotacji celowej ze środków Państwowego Funduszu Rehabilitacji Osób Niepełnosprawnych";"U 4/09
Data wydania:2010-05-31
Dz.U. 2010 r. Nr 109 poz. 723
Data ogłoszenia:2010-06-22";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-34-10"
2010-05-26;2010-06-15;2011-06-01;"Minister Pracy i Polityki Społecznej";"niezgodny";"Wykonane";"Zwrot nadpłaconych składek";"Dz.U. 2009 r. Nr 205 poz. 1585Ustawa z dnia 13 pażdziernika 1998 r. o systemie ubezpieczeń społecznych";"P 29/08
Data wydania:2010-05-26
Dz.U. 2010 r. Nr 105 poz. 668
Data ogłoszenia:2010-06-15";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-33_10
AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 138 poz. 808"
2010-05-11;2010-05-25;2011-05-01;"Minister Sprawiedliwości";"niezgodny";"Wykonane";"Termin na dochodzenie roszczenia z tytułu bezpodstawnego wzbogacenia związanego z orzeczeniem przepadku przedmiotów w postępowaniu karnoskarbowym";"Dz.U. 2007 r. Nr 111 poz. 765Ustawa z dnia 10 września 1999 r. - Kodeks karny skarbowy";"SK 50/08
Data wydania:2010-05-11
Dz.U. 2010 r. Nr 88 poz. 583
Data ogłoszenia:2010-05-25";"[Pokaż szczegóły]

AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 129 poz. 733"
2010-03-18;2010-03-29;NA;"Minister Rolnictwa i Rozwoju Wsi";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Zasady obrotu gruntami rolnymi";"Dz.U. 2003 r. Nr 64 poz. 592Ustawa z dnia 11 kwietnia 2003 r. o kształtowaniu ustroju rolnego
Dz.U. 2007 r. Nr 231 poz. 1700Ustawa z dnia 19 października 1991 r. o gospodarowaniu nieruchomościami rolnymi Skarbu Państwa";"K 8/08
Data wydania:2010-03-18
Dz.U. 2010 r. Nr 48 poz. 287
Data ogłoszenia:2010-03-29";"[Pokaż szczegóły]"
