;;;;;;;;prestiz;prestiz;prestiz;prestiz;innowacyjnosc;innowacyjnosc;innowacyjnosc;potencjal naukowy;potencjal naukowy;potencjal naukowy;potencjal naukowy;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie
Miasto;Typ Uczelni;Reszta Nazwy;ranking 2011;ranking 2010;ranking 2009;ranking 2008;suma punktow;preferencje pracodawcow;ocena kadry akademickiej;uznanie miedzynarodowe;wybor olimpijczykow;patenty i inne;srodki z UE;zaplecze innowacyjne;ocena parametryczna;uprawnienia do nawadania stopni naukowych;nasycenie kadry profesorami;akredytacje;rozwoj kadry wlasnej;nadane stopnie naukowe;pozyskiwanie srodkow zewnetrznych na badania;publikacje;cytowania;h-index;udzial uczelni w PR;studia doktoranckie;dostepnosc kadr dla studentow;zbiory elektroniczne;zbiory drukowane;korzystanie z biblioteki;dostepnosc dla studentow zamiejscowych;osiagniecia sportowe;studia w j obcym;studiujacy w j obcym;wymiana studencka wyjazdy;wymiana studencka przyjazdy;wielokulturowosc;nauczyciele z zagranicy;wyklady w j obcych
Katowice;Uniwersytet Medyczny;Slaski w Katowicach;26;21;24;16;44.85;1.26;7.36;0;0;0.81;2.89;17.57;84;22.22;40.92;25;42.84;52.03;7.08;91.98;36.6;76.6;3.51;24.62;78.26;16.74;37.38;74.73;33.43;12.32;3.85;27.31;12.94;4.06;32.63;0.92;7.87
Wroclaw;Akademia Medyczna;Piastow Slaskich we Wroclawiu;27;18;13;24;44.72;1.89;9.88;0;3.17;5.26;44.26;37.5;76;12.28;34.46;14.29;35.48;36.77;10.42;100;22.14;55.32;5.26;23.22;96.17;50.4;29.94;65;26.99;15.96;7.69;27.77;33.34;13.17;54.26;2.03;0
Poznan;Uniwersytet Ekonomiczny;w Poznaniu;28;26;18;22;44.62;31.69;7.75;0;20.15;0.61;0.83;26.45;92;17.54;44.73;14.29;51.77;41.57;5.97;13.08;26.01;21.28;1.75;40.41;33.08;35.81;21.71;51.57;8.24;45.01;7.69;9.46;74.55;22.36;5.3;12.71;12.99
Wroclaw;Uniwersytet Ekonomiczny;we Wroclawiu;29;36;28;34;43.32;28.99;7.58;0;7.05;4.05;29.03;62.68;100;16.96;35.34;21.43;48.21;28.95;4.04;10.45;24.03;17.02;0;26.01;25.76;25.15;21.85;70.67;20.31;55.18;15.38;33.1;36.34;21.83;6.61;7.89;22.83
Olsztyn;Uniwersytet;Warminsko-Mazurski w Olsztynie;30;32;32;27;42.94;8.75;14.86;0;1.97;15.79;65.79;13.95;73.75;48.54;47.5;7.14;34.12;29.63;9.06;29.04;16.19;29.79;5.26;10.41;36.12;19.29;26.16;76.56;23.19;73.17;57.69;40.27;17.19;5.09;2.93;19.64;0
Lublin;Uniwersytet Katolicki;Lubelski Jana Pawla II;31;29;22;21;42.02;12.9;10.69;0;1.41;0;35.02;15.04;75.56;34.5;49.74;32.14;40.91;62.85;14.49;6.62;17.88;19.15;1.75;57.68;40.46;17.85;52.14;70.91;13.84;69.13;3.85;0.61;29.09;4.89;9.31;39.29;14.57
Lublin;Uniwersytet;Marii Curie-Sklodowskiej w Lublinie;32;34;34;28;41.19;12.05;9.45;2.78;0;5.47;56.03;53.62;76;46.78;44.29;28.57;41.54;32.3;3.87;42.86;26.34;44.68;8.77;22.6;37.39;23.96;37.14;73.38;18.46;86.75;0;0;21.14;4.65;5.42;23.58;8.86
Wroclaw;Uniwersytet Przyrodniczy;we Wroclawiu;33;31;38;31;40.83;1.6;14.39;0;0;41.9;31.04;42.21;84;22.81;57.16;7.14;60.77;32.64;13.98;32.75;15.22;25.53;3.51;18.68;42.07;21.02;14.45;73.44;33.02;31.7;3.85;1.45;22.79;14.05;2.65;4.89;13.58
Warszawa;Akademia Wojskowa Techniczna ;w Warszawie;34;42;43;50;40.02;8.38;3.62;0;5.23;8.7;17.92;53.44;85.71;25.15;41.02;3.57;30.47;40.86;100;50.87;5.44;34.04;0;23.49;38.47;29.13;23.13;63.85;28.96;33.9;0;0;11.17;2.11;1.55;1.52;0.39
Szczecin;Uniwersytet Technologiczny;Zachodniopomorski w Szczecinie;35;35;39;42;38.38;6.21;4.73;0;10.42;41.5;27.72;57.97;74;61.4;44.02;0;26.99;26.2;15.7;56.7;6.64;40.43;12.28;23.36;50.57;23.14;18.53;78.74;40.73;45.86;0;0;20.23;3.9;1.13;15.12;16.14
