loggingTime,loggingSample,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
50:29.6,21,0,-1,12,10,-9999,1421743830,4.220489502,-30.35177612,-33.18885803,196.9052582,191.6076965,10,4345.88147,0.055328369,-0.464645386,-0.893295288,4345.853569,-0.087661143,-0.068022727,-0.088011349,4345.853569,-0.438483645,0.060806088,0.512223871,-0.077042155,-0.050512426,-0.091565095,-0.007040424,0.034031704,-0.011652828,XArbitraryZVertical,0.253538802,-0.026366375,-0.202782176,0.945464055,0.052969381,-0.490116924,-0.870045781,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.7,22,0,-1,12,10,-9999,1421743830,4.538925171,-30.26799011,-32.94274139,198.2471313,192.9495697,10,4345.939491,0.055130005,-0.455795288,-0.883422852,4345.926695,0.106550146,0.029231655,0.050028014,4345.926695,-0.446389878,0.063483025,0.516494615,0.117168285,0.046746109,0.046472143,0.020213468,-0.013061921,0.029562416,XArbitraryZVertical,0.255717869,-0.026577711,-0.205994639,0.94417594,0.055164948,-0.493835062,-0.867803991,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.7,23,0,-1,12,10,-9999,1421743830,4.538925171,-30.26799011,-32.94274139,198.2471313,192.9495697,10,4345.997508,0.058410645,-0.505996704,-0.841903687,4345.999821,0.000922253,-0.232569597,-0.338236638,4345.963257,-0.44817246,0.060793627,0.516771391,0.063068494,-0.263347208,-0.205156073,-0.031811222,0.071849748,-0.039932609,XArbitraryZVertical,0.255545868,-0.028105746,-0.20716792,0.943921516,0.052822575,-0.494075716,-0.867812753,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.8,24,0,-1,12,10,-9999,1421743830,4.404846191,-29.96632385,-32.94274139,199.172821,193.8752594,10,4346.05553,0.021987915,-0.500045776,-0.85333252,4346.036384,-0.073196184,-0.217108349,-0.12613663,4346.036384,-0.46955264,0.053515754,0.517401343,-0.062588245,-0.199601442,-0.129689619,-0.01276682,-0.003591423,0.025562817,XArbitraryZVertical,0.254734131,-0.034335206,-0.218147175,0.941458138,0.046488743,-0.494623303,-0.867863238,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.9,25,0,-1,12,10,-9999,1421743830,4.57244873,-29.79872131,-33.10681915,200.8683472,195.5707855,10,4346.11367,0.049316406,-0.474517822,-0.855514526,4346.10951,-0.078234352,-0.080145702,-0.106234827,4346.072946,-0.474555074,0.051201377,0.512815465,-0.146078408,-0.09836147,-0.112922065,-0.007837256,-0.017225785,0.01998969,XArbitraryZVertical,0.252241161,-0.035525474,-0.220988217,0.941422618,0.044595677,-0.490632504,-0.870224655,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.9,26,0,-1,12,10,-9999,1421743830,4.203765869,-29.36300659,-33.30369568,199.6678619,194.3703003,10,4346.171685,0.065292358,-0.494354248,-0.862304688,4346.182635,-0.030488667,-0.010804445,0.032890572,4346.146072,-0.482352459,0.051355642,0.505284252,-0.085249946,-0.050415386,-0.099102587,-0.012478146,0.008104042,-0.021487225,XArbitraryZVertical,0.248586236,-0.035542294,-0.224954639,0.941454746,0.044918332,-0.484056205,-0.873883247,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:30.0,27,0,-1,12,10,-9999,1421743830,4.321075439,-29.58087158,-33.48417664,199.6753235,194.3777618,10,4346.229626,0.049163818,-0.470092773,-0.940536499,4346.219199,0.051217115,0.141346742,0.021679197,4346.182635,-0.483313563,0.051478069,0.503882276,-0.019879144,0.006703165,0.029337209,0.018004382,0.007288774,-0.005160337,XArbitraryZVertical,0.247925148,-0.035437362,-0.225450638,0.941514378,0.045060195,-0.482828945,-0.874554634,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:30.0,28,0,-1,12,10,-9999,1421743830,4.43838501,-29.66465759,-33.66465759,199.8683624,194.5708008,10,4346.287694,0.041748047,-0.476547241,-0.82862854,4346.292324,-0.087059002,0.075359736,0.121857463,4346.255761,-0.481077291,0.051776835,0.505666458,0.070350714,0.005893286,0.0478178,-0.020603361,0.014664037,0.026801383,XArbitraryZVertical,0.248835439,-0.03523076,-0.224285944,0.941560159,0.045276824,-0.484390587,-0.873679459,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:30.1,29,0,-1,12,10,-9999,1421743830,4.438415527,-29.32948303,-33.50057983,200.6504517,195.35289,10,4346.345751,0.043441772,-0.476577759,-0.856246948,4346.328887,0.067992101,-0.027476099,0.058562912,4346.328887,-0.474326165,0.051052264,0.504954459,0.078745693,-0.009976856,0.055024322,-0.009413554,0.032672003,-0.027875535,XArbitraryZVertical,0.248538419,-0.034648818,-0.221226007,0.942383769,0.044661358,-0.483767569,-0.87405622,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.2,30,0,-1,12,10,-9999,1421743830,4.438415527,-29.32948303,-33.50057983,200.6504517,195.35289,10,4346.403824,0.053833008,-0.500167847,-0.861419678,4346.402013,0.005942311,-0.078057518,0.096924949,4346.36545,-0.471457626,0.051664964,0.508397376,0.06092529,0.078472607,0.102652788,-0.008352179,0.015937485,0.012496891,XArbitraryZVertical,0.250272486,-0.034403437,-0.219655392,0.942301223,0.045110602,-0.486777931,-0.87236017,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.2,31,0,-1,12,10,-9999,1421743830,4.270843506,-29.32949829,-33.33650208,199.8749695,194.5774078,10,4346.461892,0.029968262,-0.470870972,-0.891876221,4346.438576,0.060374128,0.162425662,0.179250981,4346.438576,-0.462236649,0.049558822,0.50977285,0.071149744,0.179925084,0.175716788,0.000278087,0.011477525,-0.01575903,XArbitraryZVertical,0.250848266,-0.034399135,-0.215516495,0.943103646,0.043239977,-0.487978995,-0.871783674,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.3,32,0,-1,12,10,-9999,1421743830,4.505462646,-29.39654541,-33.07398987,200.855545,195.5579834,10,4346.52008,0.054870605,-0.493850708,-0.841781616,4346.511702,-0.020160662,0.050649063,0.102641424,4346.511702,-0.450790134,0.053185926,0.518868808,-0.009388033,0.068144895,0.099108703,-0.000219646,-0.001538374,0.038539488,XArbitraryZVertical,0.25570045,-0.032262921,-0.20928733,0.943278961,0.046163861,-0.495898157,-0.86715275,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.3,33,0,-1,12,10,-9999,1421743830,4.136779785,-30.23449707,-32.68022919,198.3201294,193.0225677,10,4346.578004,0.029937744,-0.469146729,-0.894317627,4346.584828,0.102575644,0.168200727,0.166050757,4346.548265,-0.444900231,0.053031225,0.516778746,-0.021213856,0.112749241,0.187352031,0.01430974,0.010393744,-0.013581897,XArbitraryZVertical,0.254794983,-0.031353057,-0.206613432,0.944143735,0.046084549,-0.494082093,-0.86819303,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.4,34,0,-1,12,10,-9999,1421743830,4.120025635,-30.28477478,-32.92634583,197.662262,192.3647003,10,4346.636021,0.07258606,-0.492218018,-0.877456665,4346.621391,0.119385517,0.086415583,-0.021267206,4346.621391,-0.434379698,0.05836064,0.522949759,0.13024646,0.103926159,-0.024718726,-0.022211716,0.035357021,0.024405411,XArbitraryZVertical,0.258398376,-0.028158377,-0.200708281,0.944538814,0.050532028,-0.499437839,-0.86487478,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.4,35,0,-1,12,10,-9999,1421743830,4.254089355,-29.98310852,-33.0247879,197.8239594,192.5263977,10,4346.694182,0.067474365,-0.511123657,-0.85736084,4346.694517,-0.087056339,0.080266077,0.108593057,4346.657954,-0.43496109,0.060493606,0.524974362,0.028803511,-0.14766328,0.029896801,0.035132699,-0.004958473,-0.001877169,XArbitraryZVertical,0.259556958,-0.02744482,-0.200621745,0.944260495,0.052315421,-0.501190841,-0.863753915,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.5,36,0,-1,12,10,-9999,1421743830,4.555755615,-30.15068054,-32.82788849,199.5746613,194.2770996,10,4346.752124,0.065505981,-0.504638672,-0.874160767,4346.731079,0.121832696,0.008470184,0.056103749,4346.731079,-0.428270375,0.059126559,0.525691486,0.132696778,0.025990229,0.052647844,-0.01203557,0.035853602,-0.03202692,XArbitraryZVertical,0.259849911,-0.027298469,-0.197609392,0.944819213,0.05111333,-0.501811266,-0.863465607,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.6,37,0,-1,12,10,-9999,1421743831,4.270843506,-30.23448181,-32.18800354,198.0407715,192.7432098,10,4346.810285,0.039642334,-0.4947052,-0.89630127,4346.804206,0.135635061,0.090535759,0.119120799,4346.767643,-0.427788802,0.055763293,0.528480674,0.08497262,-0.100763284,0.013160774,0.021113601,-0.000691457,0.009326558,XArbitraryZVertical,0.260837284,-0.029120372,-0.197704824,0.94447272,0.048130784,-0.504221857,-0.862231851,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.6,38,0,-1,12,10,-9999,1421743831,4.170303345,-30.36856079,-31.85985565,197.8840637,192.5865021,10,4346.868254,0.055770874,-0.506454468,-0.813796997,4346.840768,0.162893047,-0.006427007,0.059432168,4346.840768,-0.42206846,0.056558869,0.539526152,0.173747361,0.01109306,0.055975541,-0.01056559,0.014446673,0.041394774,XArbitraryZVertical,0.266195201,-0.029153992,-0.194446472,0.943652865,0.04849894,-0.513729513,-0.856580317,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
50:30.7,39,0,-1,12,10,-9999,1421743831,4.304382324,-30.67022705,-31.66296387,198.407608,193.1100464,10,4346.926334,0.029800415,-0.477523804,-0.84967041,4346.913894,0.051467186,0.028509938,0.039856603,4346.913894,-0.420078005,0.056833757,0.540667309,0.062463578,0.046085861,0.03655567,-0.002985737,0.032149028,-0.010123028,XArbitraryZVertical,0.266787374,-0.028878163,-0.193423629,0.943704323,0.04870107,-0.514708221,-0.855981112,0,0,0,-1,10.20.4.224,10.165.65.4,5,0
