data	objekt	sm	google	sondaz
2015-08-24	petru	647	4	
2015-08-25	petru	2742	4	
2015-08-26	petru	1932	3	
2015-08-27	petru	769	3	
2015-08-28	petru	1873	5	
2015-08-29	petru	907	4	
2015-08-30	petru	890	3	
2015-08-31	petru	996	4	
2015-09-01	petru	559	3	
2015-09-02	petru	1255	6	
2015-09-03	petru	1279	5	
2015-09-04	petru	870	4	
2015-09-05	petru	454	4	
2015-09-06	petru	1113	6	
2015-09-07	petru	2789	6	
2015-09-08	petru	1209	5	
2015-09-09	petru	2457	6	
2015-09-10	petru	3086	5	
2015-09-11	petru	1956	5	
2015-09-12	petru	1473	6	
2015-09-13	petru	1977	5	
2015-09-14	petru	1038	6	
2015-09-15	petru	5054	9	
2015-09-16	petru	3142	7	
2015-09-17	petru	3289	7	
2015-09-18	petru	2404	6	
2015-09-19	petru	5357	13	
2015-09-20	petru	3280	7	
2015-09-21	petru	5600	13	
2015-09-22	petru	5617	9	
2015-09-23	petru	3353	8	
2015-09-24	petru	2243	4	
2015-09-25	petru	3624	7	
2015-09-26	petru	3465	10	
2015-09-27	petru	5518	16	
2015-09-28	petru	4635	14	
2015-09-29	petru	5235	14	
2015-09-30	petru	4561	9	
2015-10-01	petru	5333	10	
2015-10-02	petru	4523	13	
2015-10-03	petru	3839	8	
2015-10-04	petru	4330	10	
2015-10-05	petru	6232	11	
2015-10-06	petru	6627	13	
2015-10-07	petru	5832	11	
2015-10-08	petru	5373	10	
2015-10-09	petru	5084	12	
2015-10-10	petru	5414	12	
2015-10-11	petru	11199	20	
2015-10-12	petru	9090	18	
2015-10-13	petru	11259	18	
2015-10-14	petru	29741	61	
2015-10-15	petru	14469	35	
2015-10-16	petru	12009	23	
2015-10-17	petru	13198	20	
2015-10-18	petru	8292	21	
2015-10-19	petru	11747	32	
2015-10-20	petru	20767	60	
2015-10-21	petru	15595	49	
2015-10-22	petru	9748	35	
2015-10-23	petru	11861	47	
2015-10-24	petru	1712	31	
2015-10-25	petru	6915	100	
2015-08-01	nowoczesna.petru	2436	3	
2015-08-02	nowoczesna.petru	3772	3	
2015-08-03	nowoczesna.petru	4376	3	
2015-08-04	nowoczesna.petru	2728	4	0,05
2015-08-05	nowoczesna.petru	2420	3	0,06
2015-08-06	nowoczesna.petru	2498	3	0,06
2015-08-07	nowoczesna.petru	3138	3	0,07
2015-08-08	nowoczesna.petru	2383	4	0,07
2015-08-09	nowoczesna.petru	2824	4	0,08
2015-08-10	nowoczesna.petru	2662	3	0,08
2015-08-11	nowoczesna.petru	3720	4	0,06
2015-08-12	nowoczesna.petru	3293	4	0,03
2015-08-13	nowoczesna.petru	3064	4	0,04
2015-08-14	nowoczesna.petru	3431	4	0,04
2015-08-15	nowoczesna.petru	1925	3	0,06
2015-08-16	nowoczesna.petru	2874	4	0,06
2015-08-17	nowoczesna.petru	3518	4	0,06
2015-08-18	nowoczesna.petru	4042	4	0,07
2015-08-19	nowoczesna.petru	3719	4	0,07
2015-08-20	nowoczesna.petru	3657	3	0,07
2015-08-21	nowoczesna.petru	3754	4	0,07
2015-08-22	nowoczesna.petru	3521	4	0,06
2015-08-23	nowoczesna.petru	2523	4	0,05
2015-08-24	nowoczesna.petru	2515	3	0,05
2015-08-25	nowoczesna.petru	5463	4	0,05
2015-08-26	nowoczesna.petru	4451	4	0,04
2015-08-27	nowoczesna.petru	3336	4	0,04
2015-08-28	nowoczesna.petru	3950	6	0,06
2015-08-29	nowoczesna.petru	2715	4	0,06
2015-08-30	nowoczesna.petru	3817	4	0,06
2015-08-31	nowoczesna.petru	3775	4	0,06
2015-09-01	nowoczesna.petru	5739	3	0,05
2015-09-02	nowoczesna.petru	5076	5	0,05
2015-09-03	nowoczesna.petru	5976	5	0,05
2015-09-04	nowoczesna.petru	4154	5	0,05
2015-09-05	nowoczesna.petru	2296	4	0,05
2015-09-06	nowoczesna.petru	2788	5	0,07
2015-09-07	nowoczesna.petru	5653	5	0,05
2015-09-08	nowoczesna.petru	3524	5	0,04
2015-09-09	nowoczesna.petru	4762	5	0,02
2015-09-10	nowoczesna.petru	5638	4	0,03
2015-09-11	nowoczesna.petru	4519	5	0,04
2015-09-12	nowoczesna.petru	3360	4	0,04
